Station,Cruise,Lat,Lon,Date,Depth,Temp,Orthophosphate,NitratePlusNitrite,Nitrite,Silicate,Ammonium,Salinity,Nutricline_1uM_Interp,PAR_MODIS_9km_8d_umolm2d1,PAR_OASIM_1deg_Monthly_umolm2d1,KDPAR_MODIS_OS_9km_8d,MLD_HYCOM_9km_8d,MLPAR_MODIS_9km_8d_umolm2d1,MLPAR_OASIM_1deg_Monthly_umolm2d1,FeT_CESM2,HLI,HLII,HLIII.IV,LLI,LLII.III,LLIV,SCCG
IN094,I09N,-6.0682617,95.0000283,2016-04-06,7,30.3428,0.03,0,0,1.2,0.022552835,33.893,44.3,614.297835648148,507.859593801538,0.050115865,19.572454,391.43029916913,323.607900275121,0.00034112897,0.00631483413338444,0.982886686222845,0.0038328831621022,0.0025957517763134,0.00397147972109238,0.000398364984262803,15.8881614387533
IN095,I09N,-5.7733517,94.9999817,2016-04-06,7,30.7461,0.035,0,0,1.15,0.022552835,33.89325,36.8,607.260763888889,507.859593801538,0.0567206,19.652414,366.081888967295,306.158754994169,0.00034112897,0.00754973556600419,0.978403430852133,0.00471876020989184,0.00340438631481809,0.0053706564621139,0.000553030595039169,13.1720366775878
IN096,I09N,-5.529405,95.0002367,2016-04-06,7,30.995,0.04,0,0,1.1,0.022552835,33.8935,29.3,623.279328703704,507.859593801538,0.055810113,20.592913,370.477008004329,301.871559240064,0.00034112897,0.00594162324375584,0.983813002388392,0.00364651204867471,0.00230043259799828,0.00396474123167931,0.000333688489499962,7.18025229190027
IN098,I09N,-4.97571,95.0001183,2016-04-07,7,30.776,0.03,0,0,1.1,0.021730272,33.9423,62.1,497.13474537037,471.348631283874,0.04958836,29.090807,263.178016979923,249.527113609959,0.00037217667,0.00655976671250114,0.981932947488235,0.00388741072811196,0.00281200786071631,0.00429297486664396,0.000514892343791129,6.37045334647767
IN102,I09N,-3.878605,94.6521717,2016-04-07,7,30.422,0.015,0,0,1,0.021501394,33.77845,63.2,528.652222222222,516.215188758363,0.056266647,31.483137,247.670380114357,241.843704890065,0.0004034639,0.00582405859922925,0.984863848378997,0.00328893327195032,0.00220040501864432,0.0034543761275159,0.000368378603663022,5.96212798549265
IN103,I09N,-3.6159533,94.5687133,2016-04-08,7,30.569,0.02,0,0,1.1,0.021501394,33.7279,62,503.366782407407,516.215188758363,0.06318161,29.047777,230.506703145986,236.390372653287,0.0004034639,0.0056754629113026,0.986904834967594,0.00277891942015506,0.00160170864432491,0.00281510630421501,0.00022396775240839,16.6838407652744
IN104,I09N,-3.3624483,94.49363,2016-04-08,7,30.569,0.0225,0,0,1.2,0.021782618,33.7654,60.7,506.221712962963,485.162947158264,0.06227219,26.592388,247.336074624109,237.046921991607,0.00043102205,0.00511989073447111,0.988606447934667,0.00234499043956984,0.00140668611924839,0.00233342043595401,0.000188564336089535,10.7695566089504
IN106,I09N,-2.9185167,94.359105,2016-04-08,7,30.6571,0.0275,0,0,1.2,0.021782618,33.7462,59.1,449.866273148148,485.162947158264,0.05194238,25.470709,249.470821540683,269.044394374532,0.00043102205,0.00551331367474771,0.986955634389048,0.00280023766956241,0.00168862492271959,0.00280510274988058,0.000237086594041556,8.75176391741944
IN108,I09N,-2.63216,94.2723167,2016-04-08,7,30.707,0.025,0,0,1.05,0.021782618,33.63305,61.05,454.295300925926,485.162947158264,0.05445323,25.886284,243.571843824087,260.121628715096,0.00043102205,0.00554512517737263,0.985104183403437,0.00334149704636642,0.00212752782503534,0.00358743696931637,0.000294229578471895,6.8955115585964
IN109,I09N,-2.5081333,94.2374217,2016-04-08,7,30.8159,0.02,0,0,1,0.021782618,33.5766,63.3,443.60849537037,485.162947158264,0.051642094,26.000496,244.106770177269,266.973156006875,0.00043102205,0.00598914715761054,0.985230102664287,0.00315986968078416,0.00210149528795819,0.00312754216823936,0.000391843041120699,6.4493420916926
IN110,I09N,-2.3010183,94.165995,2016-04-09,7,30.679,0.025,0,0,1,0.022173112,33.57805,65.35,438.37962962963,502.603214709356,0.054987017,24.448902,241.073568313581,276.391379130067,0.00045039356,0.00521420092988038,0.986657711404632,0.00292737078763405,0.00185064639507207,0.00304082446447121,0.00030924601831031,9.17312777056267
IN111,I09N,-2.2013433,94.1318633,2016-04-09,7,30.676,0.03,0,0,1,0.022173112,33.5795,67.4,411.370856481481,502.603214709356,0.058068022,24.241146,220.724527947056,269.676024841078,0.00045039356,0.00639193532604357,0.980868784882962,0.00421415620792778,0.00306545615234785,0.00488786437326512,0.000571803057453548,7.52348698228482
IN112,I09N,-2.0243567,94.0704833,2016-04-09,7,30.634,0.02888889,0,0,1.15,0.022173112,33.53895,61.6,416.872407407407,502.603214709356,0.060872305,23.557652,221.414450544782,266.948861688886,0.00045039356,0.00523781689379663,0.988028726434316,0.00249045790058583,0.00154998019642745,0.00236992675407102,0.000323091820802497,11.7997079214828
IN114,I09N,-1.7457633,93.9837017,2016-04-09,7,30.701,0.02666667,0,0,1.35,0.022173112,33.3432,59.25,403.958298611111,502.603214709356,0.059359428,22.814314,221.289125029958,275.326997867542,0.00045039356,0.00440378468902781,0.987971944907067,0.00278462576164288,0.00172584463515489,0.00277732553435666,0.000336474472750831,8.86441105744674
IN115,I09N,-1.5642467,93.9320117,2016-04-09,7,30.9103,0.02555556,0,0,1.4,0.022173112,33.188,62.7,394.984571759259,502.603214709356,0.05909194,22.688354,217.52224627161,276.788988896371,0.00045039356,0.00727434065991394,0.974297176445438,0.00581733889569319,0.00456397854558602,0.00695213289710377,0.00109503255626463,9.52114544705813
IN117,I09N,-1.2497833,93.8293483,2016-04-09,7,31.2199,0.02333333,0,0,1.2,0.022829926,33.0411,45.9,383.209837962963,470.226689130681,0.06915581,27.220228,172.58380790612,211.77304064178,0.0004728958,0.00428594288504819,0.988590557701004,0.00242986834557434,0.00174031612962815,0.00268059826368244,0.000272716675063151,11.7141045063564
IN128,I09N,0.39258667,93.2094817,2016-04-11,7,30.676,0.01111111,0,0,1.65,0.024526853,33.10655,61.45,418.034953703704,501.607439400237,0.07165256,24.438318,197.290400711664,236.732196297077,0.00049833895,0.0045831880650355,0.984322020451898,0.00362666174693945,0.00258918596535041,0.00423043479636853,0.000648508974408264,6.39672677218966
IN134,I09N,1.140505,92.4775767,2016-04-12,7,30.61,0.01,0,0,1.75,0.028217247,33.2345,64.85,362.952638888889,485.855792284993,0.07198474,27.557053,157.799309030805,211.233367928912,0.00050551025,0.00507398649641622,0.982834179128852,0.0040321902807123,0.00275073475334803,0.00468652513118165,0.000622384209489592,5.51995672693039
IN136,I09N,1.67274,92.2109483,2016-04-12,7,30.704,0.02,0,0,1.75,0.02994207,33.3678,60.6,471.283414351852,501.727204263946,0.0672838,28.135035,211.460403857823,225.12024401712,0.0005172797,0.00739059258161626,0.975178179107186,0.00564487775299079,0.00425848811163845,0.00666958697214939,0.000858275474419253,8.03549413646379
IN137,I09N,1.79884167,92.1612217,2016-04-12,7,30.656,0.03,0,0,1.8,0.02994207,33.4299,53.5,430.686736111111,501.727204263946,0.062329225,27.041658,208.163781111399,242.499764142005,0.0005172797,0.00602488810757643,0.981073240304298,0.00438390313204139,0.00298308849476873,0.00490861243136076,0.000626267529954985,12.9581373755856
IN138,I09N,2.01362667,92.0856767,2016-04-12,7,30.694,0.02,0,0,1.75,0.02994207,33.4525,58.05,394.20525462963,501.727204263946,0.059573654,27.062344,195.745782655798,249.136669602805,0.0005172797,0.00584973613314434,0.982514971806893,0.00384767995289468,0.00279647863334156,0.00440174365353077,0.000589389820195968,13.5410413117003
IN139,I09N,2.20116167,92.020135,2016-04-12,7,30.6809,0.01,0,0,1.7,0.02994207,33.4751,62.6,380.133680555556,501.727204263946,0.061340567,27.4127,183.997412936242,242.852744459216,0.0005172797,0.00616533967575038,0.981294885534467,0.00423830941092122,0.00293292105650163,0.00484343443426861,0.000525109888091514,13.3565178674216
IN140,I09N,2.43041,91.9447317,2016-04-12,7,30.696,0.015,0,0,1.65,0.02994207,33.45395,65.1,350.884768518519,501.727204263946,0.073553845,26.882847,152.887047760838,218.611914575498,0.0005172797,0.00544658385306628,0.984731710510995,0.00327293521766351,0.00231738359056961,0.00380119146079917,0.000430195366906016,10.4086340892326
IN141,I09N,2.59844833,91.8899383,2016-04-13,7,30.504,0.02,0,0,1.6,0.034321018,33.4328,67.6,376.075069444444,481.888725433821,0.07334998,26.531315,165.645884975164,212.2525284698,0.0005294613,0.00538223329534076,0.984991480060945,0.00334617667407391,0.00214263010091885,0.00365497067640872,0.000482509192312696,11.5721497418618
IN142,I09N,2.76184667,91.8367417,2016-04-13,7,30.483,0.02,0,0,1.6,0.034321018,33.48265,60.85,430.151736111111,481.888725433821,0.07369672,27.187813,185.735426825781,208.074966545905,0.0005294613,0.00712099758645242,0.977442524697857,0.00509875999562989,0.00382794144496172,0.00578930132507832,0.000720474950020422,12.4714243808089
IN143,I09N,3.00008333,91.7599467,2016-04-13,7,30.534,0.02,0,0,1.6,0.034321018,33.5325,54.1,424.138356481481,481.888725433821,0.072760865,26.665283,187.198005344784,212.686749078046,0.0005294613,0.0074950064121455,0.976964615741626,0.00510114410406136,0.00383131121956203,0.00581979512732618,0.000788127395279328,5.12060063074828
IN144,I09N,3.20292,91.6562267,2016-04-13,7,30.49,0.015,0,0,1.55,0.034321018,33.5676,58.9,389.724791666667,481.888725433821,0.07047403,25.415266,181.299717533494,224.174319088358,0.0005294613,0.00696367362522925,0.978357971694653,0.00459223338931886,0.00337181150037662,0.0058950338226719,0.000819275967750123,6.23353409591488
IN145,I09N,3.43100833,91.7153733,2016-04-13,7,30.6799,0.01,0,0,1.5,0.034321018,33.6027,63.7,397.772662037037,481.888725433821,0.0724226,24.839779,184.524782421704,223.545810706993,0.0005294613,0.0060988349271288,0.980564630084071,0.00424842057419662,0.00304703951668383,0.00532369980054272,0.000717375097377304,5.49108993911798
IN146,I09N,3.71844833,91.4071567,2016-04-13,7,30.7252,0.02,0,0,1.45,0.045757037,33.62515,77.5,436.316863425926,476.031150101634,0.06772816,23.538511,218.110024597624,237.962761839319,0.00053441204,0.00517208112210505,0.985614629064191,0.0030977020384255,0.00200756356544585,0.00353151164508258,0.000576512564749658,6.99994793955252
IN148,I09N,4.06534167,91.2065117,2016-04-13,7,31.1592,0.025,0,0,1.25,0.045757037,33.7409,72.6,476.023611111111,476.031150101634,0.068099864,26.911757,218.186669151647,218.190124667703,0.00053441204,0.00628824978968706,0.98068045790555,0.00426755792746566,0.00302324528367667,0.00505946650570443,0.000681022587916378,5.63693670496712
